id,accuracy_0,accuracy_1,cnf_0,cnf_1,pre_auroc2_0,pre_auroc2_1,post_auroc2_0,post_auroc2_1,d1_0,d1_1,score_0,score_1,bet_rt_0,bet_rt_1,ans_rt_0,ans_rt_1,cnf_rt_0,cnf_rt_1
5666783,0.5675675675675675,0.59375,2.972972972972973,3.75,0.5,0.49464285714285716,0.6368602645198389,0.4624906226556639,0.283150548634018,0.8095228381941801,21,25,0.4168945945945946,0.389690625,0.7525648648648648,0.642934375,0.5811324324324324,0.50794375
5666796,0.7272727272727273,0.48717948717948717,2.9696969696969697,3.230769230769231,0.5,0.5005952380952381,0.5344544708777687,0.6219638242894057,1.0901187665360978,0.2104974781460479,24,18,0.38609863636363634,0.4132905128205128,0.5711616666666667,0.5554676923076923,0.6345709090909091,0.5976444871794871
5666803,0.6333333333333333,0.6428571428571429,4.1,4.476190476190476,0.5,0.49330357142857145,0.5189491817398795,0.6530266343825666,0.7085043769045564,1.1753844941125324,19,39,0.32728,0.3295642857142857,0.53707,0.6335119047619048,0.5994566666666666,0.6571571428571429
5666818,0.6388888888888888,0.5277777777777778,4.111111111111111,4.194444444444445,0.5,0.4986111111111111,0.5683111954459202,0.5536672629695886,0.6451876804073928,0.3235915176508264,23,21,0.40025555555555553,0.38564444444444446,0.7420111111111111,0.7309111111111112,0.990125,1.0043583333333332
5666839,0.42857142857142855,0.5833333333333334,2.2,2.5555555555555554,0.5,0.49573863636363635,0.5266666666666666,0.4756838905775076,-0.3057750804440408,0.384077269851424,15,27,0.4236,0.4356388888888889,0.7500571428571429,0.7463611111111111,0.5865714285714285,0.6339444444444444
5666841,0.7567567567567568,0.696969696969697,4.162162162162162,4.606060606060606,0.5,0.487689393939394,0.612615823235923,0.6207843137254903,1.2896308547920552,0.813735959023099,28,36,0.3642108108108108,0.3265121212121212,0.8421702702702702,0.8619333333333333,0.4908027027027027,0.41088484848484846
5666847,0.631578947368421,0.6363636363636364,2.1842105263157894,2.4545454545454546,0.5,0.49213286713286714,0.5194396798170383,0.5807043286867205,0.804634445815798,0.6333353554357657,24,30,0.5074315789578947,0.5081848484787879,0.4340842105263158,0.3984151515030303,0.6524973684157894,0.5917515151424242
5666850,0.7222222222222222,0.6944444444444444,3.9166666666666665,3.7777777777777777,0.5,0.4887820512820513,0.4803508771929824,0.539057239057239,1.1664290330721863,1.0317477599434048,26,39,0.5377777777777778,0.6051111111111112,0.8688888888888889,0.9501666666666667,0.5130555555555556,0.5708611111111112
5666863,0.5806451612903226,0.5,3.967741935483871,4.2631578947368425,0.5,0.5,0.5550747442958301,0.6081665765278529,0.6119311482621707,-0.15153681496085847,18,19,0.41666129032258065,0.40945,0.7558612903225806,0.8273263157894737,0.8623903225806452,0.9952605263157894
5666868,0.7027027027027027,0.5757575757575758,3.5405405405405403,3.696969696969697,0.5,0.49583333333333335,0.49610136452241715,0.5521494009866104,0.9737966606617487,0.8277893753747212,26,24,0.38692432432432433,0.4735909090909091,0.8739162162162162,0.7645666666666666,0.9505756756756757,0.9209333333333334
5666869,0.6153846153846154,0.5454545454545454,3.1025641025641026,3.0606060606060606,0.5,0.4975328947368421,0.5679245283018868,0.6811846689895471,0.5422961744635078,0.26993721304555396,24,21,0.3809461538461538,0.2960606060606061,0.8951282051282051,0.8785636363636363,0.5866820512820513,0.6643484848484849
5666874,0.6,0.5675675675675675,4,4.27027027027027,0.5,0.4966577540106952,0.4729206963249517,0.6046578493387004,0.47640917218981926,0.3214312785489638,21,26,0.4896028571457143,0.4679972972837838,0.7091542857342857,0.6387891891756756,0.7584257142828571,0.7628270270243244
5666877,0.6060606060606061,0.6129032258064516,3.4545454545454546,3.2580645161290325,0.5,0.4932692307692308,0.5659498207885305,0.3428227746591821,0.6274729770642642,0.7725700776751053,20,26,0.3075272727272727,0.29724193548387096,0.7847878787878788,0.8017354838709677,0.6793484848484849,0.6299032258064516
5666885,0.7916666666666666,0.7857142857142857,4.541666666666667,5,0.5,0.4751552795031056,0.5744186046511628,0.5768307322929171,1.4867075516959947,1.4509115113440094,19,38,0.5506041666666667,0.44970714285714286,0.5093833333333333,0.5162857142857142,0.2683916666666667,0.22724642857142857
5666887,0.6857142857142857,0.6756756756756757,3.0285714285714285,3.810810810810811,0.5,0.4903846153846154,0.5782669461914746,0.5501567398119122,0.9452385190561257,0.9081071397565349,24,38,0.6008685714285714,0.5874081081081081,0.7788771428571428,0.6826918918918919,0.53826,0.5413756756756757
5666895,0.43333333333333335,0.55,3.2333333333333334,3.25,0.5,0.4977116704805492,0.4966914805624483,0.5258835241413639,-0.34069482708779536,0.24104039388602683,13,26,0.39613333333333334,0.4229,0.9955666666666667,1.001425,0.6915,0.669725
5666910,0.696969696969697,0.8421052631578947,3.272727272727273,3.0526315789473686,0.5,0.47186147186147187,0.4968627450980392,0.5647911338448423,0.9384549531302739,1.859835292327059,23,58,0.3665424242424242,0.45102631578947366,0.7485181818181819,0.8017894736842105,0.7263484848484848,0.7762894736842105
5666917,0.6363636363636364,0.7027027027027027,3.5454545454545454,4.081081081081081,0.5,0.48842592592592593,0.632061628760088,0.6871345029239766,0.8330554166506076,1.382994127100638,21,41,0.3138,0.3021108108108108,0.9874787878787878,0.8500108108108109,0.8615484848484849,0.8335
5666922,0.7241379310344828,0.7441860465116279,3.5517241379310347,4.093023255813954,0.5,0.48674242424242425,0.7634245187436677,0.7393988191089641,1.4173435057809605,1.2743822630175898,21,53,0.6092724137724138,0.5497720930395349,0.7212586207034483,0.5624209302418605,0.5109448275931034,0.5221674418348837
5666926,0.6,0.75,3.7142857142857144,3.9166666666666665,0.5,0.48392857142857143,0.44068343004513216,0.612011790714812,0.5060691059300666,1.9772126029987707,21,45,0.34830285714285714,0.35285833333333333,0.63084,0.5853083333333333,0.45357714285714285,0.4451361111111111
5666927,0.6875,0.6756756756756757,3.28125,3.5135135135135136,0.5,0.4903846153846154,0.583265306122449,0.5313479623824451,0.8450573774362318,0.9925391779698921,22,38,0.535165625,0.506954054054054,0.9321875000000001,0.8473513513513513,0.5560125,0.6385351351351352
5666930,0.9117647058823529,0.7105263157894737,3.823529411764706,3.710526315789474,0.5,0.48809523809523814,0.6004070556309363,0.6192718141870684,2.801336201917615,1.0796484302475489,31,43,0.49811764705882355,0.4953,0.8502558823529411,0.8749921052631578,0.8045088235294118,0.8155552631578947
