id,condition,accuracy_high,accuracy_low,bet_high,bet_low,cnf_high,cnf_low,pre_auroc2_high,pre_auroc2_low,post_auroc2_high,post_auroc2_low,d1_high,d1_low,score_high,score_low,bet_rt_high,bet_rt_low,ans_rt_high,ans_rt_low,cnf_rt_high,cnf_rt_low
5672278,bet,0.6388888888888888,0.5294117647058824,0.5,0.5,3.861111111111111,3.4705882352941178,0.5,0.49722222222222223,0.6163820366856421,0.5817402768622282,1.0054633270348,0.19085780560754234,23,19,0.3847555555416667,0.4062852941205882,0.5984305555472222,0.6970441176529412,0.49047499999166666,0.4712382353058824
5672293,bet,0.4,0.6857142857142857,0.5142857142857142,0.45714285714285713,3,3.2857142857142856,0.5164835164835164,0.487012987012987,0.46647324306898774,0.5321453529000699,-0.4852380223841979,1.2017591846582387,8,28,0.3833657142857143,0.49861428571428573,0.8370657142857143,0.9278457142857143,0.5124485714285715,0.6459742857142857
5672500,cnf,0.5428571428571428,0.7714285714285715,0.42857142857142855,0.4,2.5428571428571427,3.1714285714285713,0.481060606060606,0.4727272727272727,0.4547454431175361,0.6904761904761905,0.2231775655633594,2.007616431171284,24,33,0.4286285714285714,0.4080285714285714,0.49980285714285716,0.4741828571428572,0.6623628571428571,0.5368428571428572
5672785,bet,0.4857142857142857,0.8235294117647058,0.6857142857142857,0.7352941176470589,3.2285714285714286,4.117647058823529,0.49702380952380953,0.47023809523809523,0.6275797373358349,0.6311475409836066,-0.0420077499819097,2.237238421318496,19,43,0.2917314285714286,0.38426764705882355,0.7065914285714285,0.6997323529411764,0.6284771428571428,0.6578941176470589
5672848,bet,0.5555555555555556,0.6176470588235294,0.5,0.5588235294117647,4.75,4.529411764705882,0.5,0.48214285714285715,0.49399399399399396,0.6551132463967055,0.40246088088456844,0.5659188120874554,20,28,0.33836666666666665,0.2806941176470588,0.8441805555555556,1.0049088235294117,0.8486277777777778,0.5736911764705882
5672898,cnf,0.4375,0.64,0.53125,0.28,2.625,2.92,0.5148809523809524,0.5125000000000001,0.47043606799704363,0.5705052878965923,-0.30986482128665604,0.7267948339444524,9,15,1.124503125,1.239588,1.1124749999999999,1.024296,0.7620781249999999,1.034012
5673072,bet,0.5714285714285714,0.7222222222222222,0.4857142857142857,0.5,3.0285714285714285,4.111111111111111,0.45416666666666666,0.4895833333333333,0.4606349206349206,0.6094736842105263,0.33667904572340823,1.1664290330721863,31,30,0.5943228571257143,0.5459305555972223,0.89978857144,0.6433277777833334,0.9796142857228571,0.6970916666777778
5673245,bet,0.4482758620689655,0.5277777777777778,0.5862068965517241,0.5,3.2758620689655173,3.6666666666666665,0.5085227272727273,0.5,0.46687009590235395,0.562015503875969,-0.3256632255599192,0.13973012646641103,10,19,0.4372137931137931,0.4122916666722222,0.40345862071034483,0.43498611111388885,0.19066896550344828,0.32486944441666665
5673345,cnf,0.5277777777777778,0.5142857142857142,0.4444444444444444,0.5142857142857142,3.7222222222222223,3.1714285714285713,0.50625,0.5,0.44991055456171736,0.607567229518449,0.14819869083129006,0.11956680749342818,17,18,0.5014555555555555,0.5618685714257142,0.7384722222305555,0.6402885714342857,0.5038611111166666,0.5204285714342857
5673387,cnf,0.5882352941176471,0.6,0.5294117647058824,0.5142857142857142,3.8823529411764706,3.4285714285714284,0.4949494949494949,0.4835164835164835,0.491919191919192,0.7372662798194713,0.5061437023346416,0.4774225196528774,22,27,0.5413382353058823,0.5368857142942857,0.8210558823588235,0.8070228571514285,0.5839058823588236,0.44027428571714283
5673423,bet,0.4444444444444444,0.6571428571428571,0.4444444444444444,0.5714285714285714,3.638888888888889,3.857142857142857,0.50625,0.49145299145299143,0.38228228228228234,0.524340770791075,-0.40246088088456844,0.7653513369505782,14,27,0.6705138888888889,0.5301057142857143,1.0537277777777778,0.9256171428571428,0.7993055555555556,0.5073742857142857
5673508,cnf,0.5833333333333334,0.5833333333333334,0.5277777777777778,0.5277777777777778,3.111111111111111,3.75,0.4879807692307692,0.4930555555555555,0.448936170212766,0.49027355623100305,0.3993069776811238,0.4495033747730388,26,24,0.3370611111111111,0.3347555555555556,0.7828722222222222,0.6855916666666667,0.6572277777777777,0.881363888888889
5673628,bet,0.5,0.8,0.7058823529411765,0.6285714285714286,4.294117647058823,4.057142857142857,0.5,0.4631578947368421,0.5999342537804077,0.6518550474547022,-0.07398127492953666,1.5781316203521638,17,42,0.5482323529382352,0.42960000000285714,0.7397941176441176,0.7064628571542857,0.9298352941294118,0.81414285714
5673630,cnf,0.5833333333333334,0.5555555555555556,0.75,0.8611111111111112,4.027777777777778,3.75,0.49387254901960786,0.5009191176470588,0.6544072948328268,0.5804804804804804,0.5640354383599063,0.3097732483066278,26,19,0.45474722222222225,0.4816111111111111,0.6631222222222222,0.6518638888888889,0.8952222222222223,0.7973416666666667
5673696,bet,0.5294117647058824,0.5,0.4411764705882353,0.5555555555555556,4.235294117647059,4.416666666666667,0.4965277777777778,0.5041666666666667,0.48154251812788396,0.5309339678762641,0.13936984063691132,1e-4,19,16,0.3153205882411765,0.6107777777805555,0.6245705882352941,0.7282944444416667,0.6082294117764706,0.507925000025
5673703,cnf,0.45161290322580644,0.9090909090909091,0.8709677419354839,0.6363636363636364,4.193548387096774,3.3636363636363638,0.5036057692307693,0.4506578947368421,0.4083139083139083,0.39650349650349653,-0.22089449773255485,2.4321255250646097,11,45,0.6974516129032258,0.5320303030303031,0.7983870967741935,0.974909090909091,0.28703225806451615,0.38072727272727275
5673943,cnf,0.6470588235294118,0.625,0.47058823529411764,0.5,4.617647058823529,4.8125,0.47916666666666663,0.487012987012987,0.5942997888810697,0.6256704980842913,0.8207920883323804,0.706736840829472,28,24,0.7232970588235295,0.68411875000625,0.8501705882441176,0.87590624999375,0.8895441176441177,0.381453125009375
5674474,bet,0.5,0.95,0.7941176470588235,0.55,4.235294117647059,4.05,0.5036057692307693,0.2708333333333333,0.6301775147928994,0.6328903654485051,1e-4,2.6898896497580664,14,30,0.4595029411735294,0.376465000035,0.7389176470411765,0.51417999997,0.5563176470029412,0.199204999995
5674673,bet,0.6111111111111112,0.75,0.5,0.5,2.4722222222222223,3.2222222222222223,0.4949494949494949,0.47619047619047616,0.6038961038961039,0.5309506263817244,0.5339882508099052,1.271420442880645,24,35,0.42828652777777776,0.43604,0.7923215277777778,0.7237238888916667,0.6975751388888889,0.7442009722166667
